<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.03.15	09:00:00	102700	102900	102065	102360	779162	2220992	1
2023.03.15	10:00:00	102365	102595	101800	101935	1150417	3332150	1
2023.03.15	11:00:00	101940	102300	101485	101865	936835	2830643	1
2023.03.15	12:00:00	101870	102510	101760	102270	599615	1913622	1
2023.03.15	13:00:00	102275	102460	101985	102400	508106	1625355	1
2023.03.15	14:00:00	102405	103265	102395	103245	707248	2271404	1
2023.03.15	15:00:00	103245	103935	102970	103645	685652	2238012	1
2023.03.15	16:00:00	103645	103770	103220	103605	507153	1652073	1
2023.03.15	17:00:00	103610	103890	103490	103650	164363	547801	1
2023.03.16	09:00:00	103590	103870	103420	103635	587873	1665304	1
2023.03.16	10:00:00	103635	104275	103285	104190	1145322	3244480	1
2023.03.16	11:00:00	104190	104300	103220	103920	866041	2687479	1
2023.03.16	12:00:00	103920	104165	103565	104085	583555	1894128	1
2023.03.16	13:00:00	104080	104245	103705	104090	407341	1333159	1
2023.03.16	14:00:00	104095	104735	104095	104655	449201	1502349	1
2023.03.16	15:00:00	104655	104775	104335	104475	357625	1211882	1
2023.03.16	16:00:00	104470	104535	104205	104305	331753	1190869	1
2023.03.16	17:00:00	104305	104590	104165	104380	210341	705580	1
2023.03.17	09:00:00	104275	104335	103600	103685	462661	1396735	1
2023.03.17	10:00:00	103690	103710	102775	102945	751587	2377665	1
2023.03.17	11:00:00	102940	103085	102335	102620	576179	1911089	1
2023.03.17	12:00:00	102615	102990	102470	102910	384580	1339208	1
2023.03.17	13:00:00	102915	103290	102855	102990	400892	1438119	1
2023.03.17	14:00:00	102995	103055	102735	102985	312979	1180791	1
2023.03.17	15:00:00	102990	103190	102730	103105	365699	1342578	1
2023.03.17	16:00:00	103100	103155	102905	103015	324313	1177937	1
2023.03.17	17:00:00	103015	103115	102630	102630	194449	713720	1
2023.03.20	09:00:00	102760	103080	102605	102735	559097	1642672	1
2023.03.20	10:00:00	102735	103070	101880	102245	1014923	3236313	1
2023.03.20	11:00:00	102245	102575	101730	102415	700563	2217160	1
2023.03.20	12:00:00	102415	102475	101515	101545	523265	1805094	1
2023.03.20	13:00:00	101545	101720	101360	101695	293243	1108362	1
2023.03.20	14:00:00	101690	101775	101315	101545	316382	1145975	1
2023.03.20	15:00:00	101540	101920	101445	101855	331956	1317216	1
2023.03.20	16:00:00	101850	102040	101635	101695	330203	1244454	1
2023.03.20	17:00:00	101700	101885	101595	101640	157982	576056	1
2023.03.21	09:00:00	102430	102500	101800	101840	166590	1623057	0
2023.03.21	10:00:00	101845	102345	101730	102165	243882	2627312	0
2023.03.21	11:00:00	102175	102230	101535	102020	216059	2319015	0
2023.03.21	12:00:00	102020	102050	101885	101900	12810	131062	0
